ID: 386; Orig. Level: 3; Final Level: 3; Arr. Time(ms): 2; Comp. Time(ms): 134;TAT (ms): 132
ID: 926; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 3; Comp. Time(ms): 297;TAT (ms): 294
ID: 921; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 245; Comp. Time(ms): 521;TAT (ms): 276
ID: 669; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 273; Comp. Time(ms): 642;TAT (ms): 369
ID: 352; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 308; Comp. Time(ms): 784;TAT (ms): 476
ID: 845; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 363; Comp. Time(ms): 989;TAT (ms): 626
ID: 895; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 443; Comp. Time(ms): 1304;TAT (ms): 861
ID: 241; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 56; Comp. Time(ms): 1457;TAT (ms): 1401
ID: 492; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 498; Comp. Time(ms): 1590;TAT (ms): 1092
ID: 189; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 561; Comp. Time(ms): 1816;TAT (ms): 1255
ID: 902; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 615; Comp. Time(ms): 1982;TAT (ms): 1367
ID: 207; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 632; Comp. Time(ms): 2014;TAT (ms): 1382
ID: 775; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 685; Comp. Time(ms): 2148;TAT (ms): 1463
ID: 789; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 733; Comp. Time(ms): 2427;TAT (ms): 1694
ID: 612; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 789; Comp. Time(ms): 2603;TAT (ms): 1814
ID: 829; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 851; Comp. Time(ms): 2892;TAT (ms): 2041
ID: 877; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 868; Comp. Time(ms): 3023;TAT (ms): 2155
ID: 106; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 872; Comp. Time(ms): 3028;TAT (ms): 2156
ID: 140; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 947; Comp. Time(ms): 3233;TAT (ms): 2286
ID: 114; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 359; Comp. Time(ms): 3297;TAT (ms): 2938
ID: 382; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 1353; Comp. Time(ms): 4696;TAT (ms): 3343
ID: 536; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 484; Comp. Time(ms): 5216;TAT (ms): 4732
ID: 449; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 1537; Comp. Time(ms): 5286;TAT (ms): 3749
ID: 861; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 74; Comp. Time(ms): 5630;TAT (ms): 5556
ID: 319; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 1726; Comp. Time(ms): 5810;TAT (ms): 4084
ID: 210; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 557; Comp. Time(ms): 6033;TAT (ms): 5476
ID: 486; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 1832; Comp. Time(ms): 6329;TAT (ms): 4497
ID: 258; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 1926; Comp. Time(ms): 6769;TAT (ms): 4843
ID: 764; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 729; Comp. Time(ms): 7351;TAT (ms): 6622
ID: 679; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 307; Comp. Time(ms): 7504;TAT (ms): 7197
ID: 262; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 792; Comp. Time(ms): 7541;TAT (ms): 6749
ID: 318; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 793; Comp. Time(ms): 7554;TAT (ms): 6761
ID: 904; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 863; Comp. Time(ms): 7876;TAT (ms): 7013
ID: 769; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 1101; Comp. Time(ms): 8584;TAT (ms): 7483
ID: 841; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 1185; Comp. Time(ms): 8881;TAT (ms): 7696
ID: 798; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 1198; Comp. Time(ms): 8956;TAT (ms): 7758
ID: 130; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 447; Comp. Time(ms): 9416;TAT (ms): 8969
ID: 34; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 1367; Comp. Time(ms): 9522;TAT (ms): 8155
